"","matrix...nrow...iter.","sub","iter","rho_perc_estR3P1","ll_perc_estR3P1","AIC_perc_estR3P1","AICc_perc_estR3P1","BIC_perc_estR3P1","rho_perc_estR1P2","ll_perc_estR1P2","AIC_perc_estR1P2","AICc_perc_estR1P2","BIC_perc_estR1P2","rho_perc_estR2P1","ll_perc_estR2P1","AIC_perc_estR2P1","AICc_perc_estR2P1","BIC_perc_estR2P1","rho_perc_estR3P2","ll_perc_estR3P2","AIC_perc_estR3P2","AICc_perc_estR3P2","BIC_perc_estR3P2","rho_perc_estR1P1","ll_perc_estR1P1","AIC_perc_estR1P1","AICc_perc_estR1P1","BIC_perc_estR1P1","rho_perc_estR2P2","ll_perc_estR2P2","AIC_perc_estR2P2","AICc_perc_estR2P2","BIC_perc_estR2P2","rho_full_alt_offset_genR3P1","omega_full_alt_offset_genR3P1","lambda_full_alt_offset_genR3P1","offset_full_alt_offset_genR3P1","ll_full_alt_offset_genR3P1","AIC_full_alt_offset_genR3P1","AICc_full_alt_offset_genR3P1","BIC_full_alt_offset_genR3P1","rho_full_alt_offset_genR1P2","omega_full_alt_offset_genR1P2","lambda_full_alt_offset_genR1P2","offset_full_alt_offset_genR1P2","ll_full_alt_offset_genR1P2","AIC_full_alt_offset_genR1P2","AICc_full_alt_offset_genR1P2","BIC_full_alt_offset_genR1P2","rho_full_alt_offset_genR2P1","omega_full_alt_offset_genR2P1","lambda_full_alt_offset_genR2P1","offset_full_alt_offset_genR2P1","ll_full_alt_offset_genR2P1","AIC_full_alt_offset_genR2P1","AICc_full_alt_offset_genR2P1","BIC_full_alt_offset_genR2P1","rho_full_alt_offset_genR3P2","omega_full_alt_offset_genR3P2","lambda_full_alt_offset_genR3P2","offset_full_alt_offset_genR3P2","ll_full_alt_offset_genR3P2","AIC_full_alt_offset_genR3P2","AICc_full_alt_offset_genR3P2","BIC_full_alt_offset_genR3P2","rho_full_alt_offset_genR1P1","omega_full_alt_offset_genR1P1","lambda_full_alt_offset_genR1P1","offset_full_alt_offset_genR1P1","ll_full_alt_offset_genR1P1","AIC_full_alt_offset_genR1P1","AICc_full_alt_offset_genR1P1","BIC_full_alt_offset_genR1P1","rho_full_alt_offset_genR2P2","omega_full_alt_offset_genR2P2","lambda_full_alt_offset_genR2P2","offset_full_alt_offset_genR2P2","ll_full_alt_offset_genR2P2","AIC_full_alt_offset_genR2P2","AICc_full_alt_offset_genR2P2","BIC_full_alt_offset_genR2P2","offset_value_alt_offsetR3P1","omega_value_alt_offsetR3P1","lambda_value_alt_offsetR3P1","ll_value_alt_offsetR3P1","AIC_value_alt_offsetR3P1","AICc_value_alt_offsetR3P1","BIC_value_alt_offsetR3P1","offset_value_alt_offsetR1P2","omega_value_alt_offsetR1P2","lambda_value_alt_offsetR1P2","ll_value_alt_offsetR1P2","AIC_value_alt_offsetR1P2","AICc_value_alt_offsetR1P2","BIC_value_alt_offsetR1P2","offset_value_alt_offsetR2P1","omega_value_alt_offsetR2P1","lambda_value_alt_offsetR2P1","ll_value_alt_offsetR2P1","AIC_value_alt_offsetR2P1","AICc_value_alt_offsetR2P1","BIC_value_alt_offsetR2P1","offset_value_alt_offsetR3P2","omega_value_alt_offsetR3P2","lambda_value_alt_offsetR3P2","ll_value_alt_offsetR3P2","AIC_value_alt_offsetR3P2","AICc_value_alt_offsetR3P2","BIC_value_alt_offsetR3P2","offset_value_alt_offsetR1P1","omega_value_alt_offsetR1P1","lambda_value_alt_offsetR1P1","ll_value_alt_offsetR1P1","AIC_value_alt_offsetR1P1","AICc_value_alt_offsetR1P1","BIC_value_alt_offsetR1P1","offset_value_alt_offsetR2P2","omega_value_alt_offsetR2P2","lambda_value_alt_offsetR2P2","ll_value_alt_offsetR2P2","AIC_value_alt_offsetR2P2","AICc_value_alt_offsetR2P2","BIC_value_alt_offsetR2P2","vsd_ns2R3P1","basesd_ns2R3P1","ll_ns2R3P1","AIC_ns2R3P1","AICc_ns2R3P1","BIC_ns2R3P1","vsd_ns2R1P2","basesd_ns2R1P2","ll_ns2R1P2","AIC_ns2R1P2","AICc_ns2R1P2","BIC_ns2R1P2","vsd_ns2R2P1","basesd_ns2R2P1","ll_ns2R2P1","AIC_ns2R2P1","AICc_ns2R2P1","BIC_ns2R2P1","vsd_ns2R3P2","basesd_ns2R3P2","ll_ns2R3P2","AIC_ns2R3P2","AICc_ns2R3P2","BIC_ns2R3P2","vsd_ns2R1P1","basesd_ns2R1P1","ll_ns2R1P1","AIC_ns2R1P1","AICc_ns2R1P1","BIC_ns2R1P1","vsd_ns2R2P2","basesd_ns2R2P2","ll_ns2R2P2","AIC_ns2R2P2","AICc_ns2R2P2","BIC_ns2R2P2"
"1",NA,"ryf84f70g5thl4l",1,0.225499161713154,213.376284845599,428.752569691197,428.870216750021,430.336088629653,0.388437913772805,127.595173186838,257.190346373677,257.307993432501,258.773865312133,0.482624599908551,144.518571350543,291.037142701087,291.15478975991,292.620661639543,0.226108824874257,224.940402689498,451.880805378996,451.99845243782,453.464324317452,0.211934156378601,116.611829473649,235.223658947297,235.341306006121,236.807177885753,0.334324028226209,146.01107480656,294.02214961312,294.139796671944,295.605668551576,0.0555554858638362,0.907407407407014,1.2962962962963,0.074074074074074,141.070663217195,290.141326434391,291.431649015036,296.475402188215,0.0926093177448513,0.720799674846314,2.40740740740741,0.024691358027052,119.396317402009,246.792634804017,248.082957384663,253.126710557842,0.166666666666667,0.5,1.2962962962963,0.000812884214804743,131.564224989076,271.128449978152,272.418772558797,277.462525731976,0.051440329218107,0.944444444444444,1.62551440329218,0.0164609053497944,141.674637741284,291.349275482568,292.639598063213,297.683351236392,0.0432098765432099,0.792181062215323,1.04938271604938,0,116.228799507987,240.457599015974,241.747921596619,246.791674769798,0.12962962962963,0.5,2.40740740740741,0,120.252172248379,248.504344496758,249.794667077403,254.838420250583,0.0397805212620199,0.5,1.3031550068582,136.83586338878,279.67172677756,280.42172677756,284.422283592929,0.0105166895286455,0.5,2.71604938271611,119.214878977784,244.429757955568,245.179757955568,249.180314770936,-0.152263374485553,0.5,2.57887517146768,125.162669420817,256.325338841635,257.075338841635,261.075895657003,0.0485693442793391,0.5,1.66757714420809,132.970553704081,271.941107408163,272.691107408163,276.691664223531,0.00210805916908763,0.5,0.946502057613387,116.158928711174,238.317857422347,239.067857422347,243.068414237716,0.0102854256407336,0.5,2.22679469593247,118.67015727118,243.340314542361,244.090314542361,248.090871357729,1.33564545895477,0.777100138217006,135.357199964548,274.714399929097,275.078036292733,277.881437806009,4.71220820608747,0.659149956874549,118.050276078368,240.100552156735,240.464188520372,243.267590033648,1.5450048055753,0.765969294971043,125.928543317752,255.857086635505,256.220722999141,259.024124512417,1.73980886097905,1.26352245799496,132.740384075699,269.480768151397,269.844404515033,272.647806028309,0.913980548219631,0.600505556509171,116.159130043182,236.318260086363,236.68189645,239.485297963275,1.36049937345974,2.29253373479515,118.699998352785,241.39999670557,241.763633069207,244.567034582483
"2",NA,"ryf84f70g5thl4l",2,0.148224356043286,232.959984074046,467.919968148092,468.037615206915,469.503487086548,0.478052126200274,128.568112058783,259.136224117567,259.253871176391,260.719743056023,0.213763145851289,140.147214656645,282.29442931329,282.412076372114,283.877948251746,0.243484155273987,244.943752656185,491.88750531237,492.005152371194,493.471024250826,0.229004724889499,116.802920155094,235.605840310188,235.723487369012,237.189359248644,0.368312757201646,152.20591119408,306.411822388159,306.529469446983,307.995341326616,0.0802469135802469,0.87037037037037,1.2962962962963,0,139.986019565309,287.972039130618,289.262361711263,294.306114884443,0.131001371742113,0.5,2.77777777777778,4.646114626361e-08,119.374610268925,246.74922053785,248.039543118495,253.083296291674,0.0555555555555556,0.783950617283951,2.03703703703704,-0.0658436368862257,126.563183130329,261.126366260658,262.416688841303,267.460442014483,0.0925925924969935,0.919753086419753,1.79012345679012,0.074074074074074,141.394452917624,290.788905835247,292.079228415892,297.122981589072,0.0925925925925926,0.87037037037037,0.884773662551457,0,116.169756006515,240.33951201303,241.629834593675,246.673587766854,0.0432098765432099,0.623456790123457,2.03703703703704,0.0246913580246915,118.599688758203,245.199377516405,246.48970009705,251.53345327023,0.0397805212620199,0.5,1.3031550068582,136.83586338878,279.67172677756,280.42172677756,284.422283592929,0.0105166895286455,0.5,2.71604938271611,119.214878977784,244.429757955568,245.179757955568,249.180314770936,-0.152263374485553,0.5,2.57887517146768,125.162669420817,256.325338841635,257.075338841635,261.075895657003,0.0485693442793391,0.5,1.66757714420809,132.970553704081,271.941107408163,272.691107408163,276.691664223531,0.00210805916908763,0.5,0.946502057613387,116.158928711174,238.317857422347,239.067857422347,243.068414237716,0.0102854256407336,0.5,2.22679469593247,118.67015727118,243.340314542361,244.090314542361,248.090871357729,1.33564545895477,0.777100138217006,135.357199964548,274.714399929097,275.078036292733,277.881437806009,4.71220820608747,0.659149956874549,118.050276078368,240.100552156735,240.464188520372,243.267590033648,1.5450048055753,0.765969294971043,125.928543317752,255.857086635505,256.220722999141,259.024124512417,1.73980886097905,1.26352245799496,132.740384075699,269.480768151397,269.844404515033,272.647806028309,0.913980548219631,0.600505556509171,116.159130043182,236.318260086363,236.68189645,239.485297963275,1.36049937345974,2.29253373479515,118.699998352785,241.39999670557,241.763633069207,244.567034582483
"3",NA,"ryf84f70g5thl4l",3,0.23708276177412,221.944151535062,445.888303070124,446.005950128947,447.47182200858,0.397119340703394,128.117237920926,258.234475841853,258.352122900677,259.817994780309,0.46159122085048,147.016490130122,296.032980260244,296.150627319068,297.616499198701,0.280521262002743,262.901303598587,527.802607197174,527.920254255997,529.38612613563,0.150205761318053,116.476941934257,234.953883868513,235.071530927337,236.537402806969,0.405807041609511,143.113489815349,288.226979630698,288.344626689521,289.810498569154,0.0308641975308642,0.87037037037037,1.2962962962963,3.33066907387547e-15,145.094792850401,298.189585700801,299.479908281446,304.523661454626,0.141975308641975,0.895061728395062,2.40740740740741,0,119.818374986893,247.636749973786,248.927072554431,253.970825727611,0.166666666666667,0.537037037037037,2.44855967078189,-0.148148148148148,127.711628204716,263.423256409432,264.713578990077,269.757332163256,0.0555555529743808,0.907407407407407,1.66667293892141,0.0731595793324187,132.715700460684,273.431400921368,274.721723502013,279.765476675192,0.0226337448559671,0.565843621399177,1.04938271604938,0,116.186307653475,240.37261530695,241.662937887595,246.706691060774,0.0802469135802469,0.944444444444444,2.53086419753086,0,118.835086081937,245.670172163873,246.960494744518,252.004247917698,0.0397805212620199,0.5,1.3031550068582,136.83586338878,279.67172677756,280.42172677756,284.422283592929,0.0105166895286455,0.5,2.71604938271611,119.214878977784,244.429757955568,245.179757955568,249.180314770936,-0.152263374485553,0.5,2.57887517146768,125.162669420817,256.325338841635,257.075338841635,261.075895657003,0.0485693442793391,0.5,1.66757714420809,132.970553704081,271.941107408163,272.691107408163,276.691664223531,0.00210805916908763,0.5,0.946502057613387,116.158928711174,238.317857422347,239.067857422347,243.068414237716,0.0102854256407336,0.5,2.22679469593247,118.67015727118,243.340314542361,244.090314542361,248.090871357729,1.33564545895477,0.777100138217006,135.357199964548,274.714399929097,275.078036292733,277.881437806009,4.71220820608747,0.659149956874549,118.050276078368,240.100552156735,240.464188520372,243.267590033648,1.5450048055753,0.765969294971043,125.928543317752,255.857086635505,256.220722999141,259.024124512417,1.73980886097905,1.26352245799496,132.740384075699,269.480768151397,269.844404515033,272.647806028309,0.913980548219631,0.600505556509171,116.159130043182,236.318260086363,236.68189645,239.485297963275,1.36049937345974,2.29253373479515,118.699998352785,241.39999670557,241.763633069207,244.567034582483
"4",NA,"ryf84f70g5thl4l",4,0.175201950922116,232.959984074046,467.919968148092,468.037615206915,469.503487086548,0.464791952446273,128.63930271525,259.2786054305,259.396252489324,260.862124368956,0.621627800640146,146.641802109248,295.283604218496,295.40125127732,296.867123156952,0.251562261850328,242.443331413679,486.886662827357,487.004309886181,488.470181765814,0.179012345679012,116.544385704374,235.088771408748,235.206418467572,236.672290347204,0.388888888888889,146.81040846275,295.620816925499,295.738463984323,297.204335863956,0.0802469135802469,0.845679012345679,1.17283950617284,0.0246913580246915,138.44610984139,284.892219682779,286.182542263424,291.226295436604,0.0555555555555556,0.5247082931125,2.77777777777778,3.33066907387547e-15,119.241049055125,246.48209811025,247.772420690895,252.816173864074,0.0925923835174345,0.5,1.83127572016461,-0.0740740740740741,126.985043885872,261.970087771744,263.260410352389,268.304163525568,0.166666666666667,0.833333333333333,1.79012344818621,-0.00274348422496573,148.240606258353,304.481212516706,305.771535097352,310.815288270531,0.0596707818930041,0.648148148148017,0.925925925925926,-1.72078318261271e-09,116.209111752648,240.418223505296,241.708546085941,246.75229925912,0.0349794238683128,0.870370370370377,2.40740740740741,0,118.699064602468,245.398129204937,246.688451785582,251.732204958761,0.0397805212620199,0.5,1.3031550068582,136.83586338878,279.67172677756,280.42172677756,284.422283592929,0.0105166895286455,0.5,2.71604938271611,119.214878977784,244.429757955568,245.179757955568,249.180314770936,-0.152263374485553,0.5,2.57887517146768,125.162669420817,256.325338841635,257.075338841635,261.075895657003,0.0485693442793391,0.5,1.66757714420809,132.970553704081,271.941107408163,272.691107408163,276.691664223531,0.00210805916908763,0.5,0.946502057613387,116.158928711174,238.317857422347,239.067857422347,243.068414237716,0.0102854256407336,0.5,2.22679469593247,118.67015727118,243.340314542361,244.090314542361,248.090871357729,1.33564545895477,0.777100138217006,135.357199964548,274.714399929097,275.078036292733,277.881437806009,4.71220820608747,0.659149956874549,118.050276078368,240.100552156735,240.464188520372,243.267590033648,1.5450048055753,0.765969294971043,125.928543317752,255.857086635505,256.220722999141,259.024124512417,1.73980886097905,1.26352245799496,132.740384075699,269.480768151397,269.844404515033,272.647806028309,0.913980548219631,0.600505556509171,116.159130043182,236.318260086363,236.68189645,239.485297963275,1.36049937345974,2.29253373479515,118.699998352785,241.39999670557,241.763633069207,244.567034582483
"5",NA,"ryf84f70g5thl4l",5,0.258573388203018,211.907505422886,425.815010845771,425.932657904595,427.398529784228,0.505486968449931,126.740885318314,255.481770636629,255.599417695452,257.065289575085,0.24851394604481,139.148047255111,280.296094510221,280.413741569045,281.879613448677,0.295610425240055,244.943752656185,491.88750531237,492.005152371194,493.471024250826,0.0843621399176955,116.488182563398,234.976365126795,235.094012185619,236.559884065252,0.382639841487578,148.808742670277,299.617485340553,299.735132399377,301.20100427901,0.061042524005487,0.800411522633745,1.29635274658899,0.00823045267489708,137.085338821564,282.170677643127,283.461000223772,288.504753396952,0.277777777777778,0.722227867251492,2.77930170337481,0,120.212848563695,248.42569712739,249.716019708036,254.759772881215,0.203703703703704,0.5,2.53086419752955,-0.148148148148148,125.107050734551,258.214101469102,259.504424049747,264.548177222926,0.166666666666667,0.87037037037037,1.66666666666667,0,149.882112924711,307.764225849422,309.054548430067,314.098301603246,0.0432098765432099,0.763374485596708,0.925925925925926,0,116.180672006844,240.361344013687,241.651666594332,246.695419767512,0.0308641975308642,0.722222222222222,2.28395061728395,-1.91198168408846e-10,118.683092420128,245.366184840256,246.656507420901,251.70026059408,0.0397805212620199,0.5,1.3031550068582,136.83586338878,279.67172677756,280.42172677756,284.422283592929,0.0105166895286455,0.5,2.71604938271611,119.214878977784,244.429757955568,245.179757955568,249.180314770936,-0.152263374485553,0.5,2.57887517146768,125.162669420817,256.325338841635,257.075338841635,261.075895657003,0.0485693442793391,0.5,1.66757714420809,132.970553704081,271.941107408163,272.691107408163,276.691664223531,0.00210805916908763,0.5,0.946502057613387,116.158928711174,238.317857422347,239.067857422347,243.068414237716,0.0102854256407336,0.5,2.22679469593247,118.67015727118,243.340314542361,244.090314542361,248.090871357729,1.33564545895477,0.777100138217006,135.357199964548,274.714399929097,275.078036292733,277.881437806009,4.71220820608747,0.659149956874549,118.050276078368,240.100552156735,240.464188520372,243.267590033648,1.5450048055753,0.765969294971043,125.928543317752,255.857086635505,256.220722999141,259.024124512417,1.73980886097905,1.26352245799496,132.740384075699,269.480768151397,269.844404515033,272.647806028309,0.913980548219631,0.600505556509171,116.159130043182,236.318260086363,236.68189645,239.485297963275,1.36049937345974,2.29253373479515,118.699998352785,241.39999670557,241.763633069207,244.567034582483
"6",NA,"ryf84f70g5thl4l",6,0.179317177259564,243.241426729672,488.482853459344,488.600500518167,490.0663723978,0.422267946959305,127.618903372718,257.237806745436,257.355453804259,258.821325683892,0.304755372656607,143.644300527596,289.288601055192,289.406248114016,290.872119993649,0.589620484682213,241.53408751585,485.068175031701,485.185822090524,486.651693970157,0.0883249504648682,116.555626332391,235.111252664783,235.228899723606,236.694771603239,0.30429812528578,141.314989041365,284.629978082729,284.747625141553,286.213497021185,0.0912208504801098,0.598763550422357,1.2962962962963,-3.38701756168458e-05,146.996125863972,301.992251727945,303.28257430859,308.326327481769,0.0679011648761819,0.944444444444444,2.77777777777778,0.00823045267489708,119.147359154182,246.294718308364,247.585040889009,252.628794062188,0.166666666666667,0.5,1.66666596974947,0,129.64530473419,267.290609468381,268.580932049026,273.624685222205,0.0555555555555556,0.87037037037037,1.67123914037494,0.074074074074074,133.246305524241,274.492611048482,275.782933629127,280.826686802306,0.0720164609053498,0.660493827160494,0.967078189300412,0,116.137818942942,240.275637885884,241.565960466529,246.609713639709,0.0925925925925926,0.537037037037037,2.40738859064318,0.000914494741655281,119.613907368775,247.22781473755,248.518137318195,253.561890491374,0.0397805212620199,0.5,1.3031550068582,136.83586338878,279.67172677756,280.42172677756,284.422283592929,0.0105166895286455,0.5,2.71604938271611,119.214878977784,244.429757955568,245.179757955568,249.180314770936,-0.152263374485553,0.5,2.57887517146768,125.162669420817,256.325338841635,257.075338841635,261.075895657003,0.0485693442793391,0.5,1.66757714420809,132.970553704081,271.941107408163,272.691107408163,276.691664223531,0.00210805916908763,0.5,0.946502057613387,116.158928711174,238.317857422347,239.067857422347,243.068414237716,0.0102854256407336,0.5,2.22679469593247,118.67015727118,243.340314542361,244.090314542361,248.090871357729,1.33564545895477,0.777100138217006,135.357199964548,274.714399929097,275.078036292733,277.881437806009,4.71220820608747,0.659149956874549,118.050276078368,240.100552156735,240.464188520372,243.267590033648,1.5450048055753,0.765969294971043,125.928543317752,255.857086635505,256.220722999141,259.024124512417,1.73980886097905,1.26352245799496,132.740384075699,269.480768151397,269.844404515033,272.647806028309,0.913980548219631,0.600505556509171,116.159130043182,236.318260086363,236.68189645,239.485297963275,1.36049937345974,2.29253373479515,118.699998352785,241.39999670557,241.763633069207,244.567034582483
"7",NA,"ryf84f70g5thl4l",7,0.396662094192958,264.538701900992,531.077403801985,531.195050860808,532.660922740441,0.407178783721994,128.734223598754,259.468447197509,259.586094256332,261.051966135965,0.135116598079561,146.26711479353,294.53422958706,294.651876645884,296.117748525516,0.39437585733882,262.673992479022,527.347984958044,527.465632016867,528.9315038965,0.194101508916324,116.791679527451,235.583359054903,235.701006113726,237.166877993359,0.327143558739352,148.7088261584,299.417652316799,299.535299375623,301.001171255255,0.12962962962963,0.783950617283951,1.29477213839354,-0.00823045267489708,149.658745303725,307.317490607449,308.607813188094,313.651566361273,0.277777777777778,0.609739368998628,2.77777777777778,0,120.164050211463,248.328100422926,249.618423003571,254.662176176751,0.166666666666667,0.635802469135802,2.40740740741134,-0.148148148148148,126.602958374683,261.205916749367,262.496239330012,267.539992503191,0.0555555555555556,0.5,1.79012345679012,-0.0073159579332418,140.809885669359,289.619771338719,290.910093919364,295.953847092543,0.104938271604938,0.833333333333333,0.884773739986684,0,116.219183141774,240.438366283549,241.728688864194,246.772442037373,0.0555555554705786,0.907407407407407,2.4074081043246,-0.00823045267489708,119.27147906321,246.542958126419,247.833280707065,252.877033880244,0.0397805212620199,0.5,1.3031550068582,136.83586338878,279.67172677756,280.42172677756,284.422283592929,0.0105166895286455,0.5,2.71604938271611,119.214878977784,244.429757955568,245.179757955568,249.180314770936,-0.152263374485553,0.5,2.57887517146768,125.162669420817,256.325338841635,257.075338841635,261.075895657003,0.0485693442793391,0.5,1.66757714420809,132.970553704081,271.941107408163,272.691107408163,276.691664223531,0.00210805916908763,0.5,0.946502057613387,116.158928711174,238.317857422347,239.067857422347,243.068414237716,0.0102854256407336,0.5,2.22679469593247,118.67015727118,243.340314542361,244.090314542361,248.090871357729,1.33564545895477,0.777100138217006,135.357199964548,274.714399929097,275.078036292733,277.881437806009,4.71220820608747,0.659149956874549,118.050276078368,240.100552156735,240.464188520372,243.267590033648,1.5450048055753,0.765969294971043,125.928543317752,255.857086635505,256.220722999141,259.024124512417,1.73980886097905,1.26352245799496,132.740384075699,269.480768151397,269.844404515033,272.647806028309,0.913980548219631,0.600505556509171,116.159130043182,236.318260086363,236.68189645,239.485297963275,1.36049937345974,2.29253373479515,118.699998352785,241.39999670557,241.763633069207,244.567034582483
"8",NA,"ryf84f70g5thl4l",8,0.110423358378447,221.699355014347,445.398710028695,445.516357087518,446.982228967151,0.425925925925926,128.639302721426,259.278605442852,259.396252501676,260.862124381308,0.228395061728395,143.394508622683,288.789017245366,288.90666430419,290.372536183822,0.169410150891632,245.171063754841,492.342127509682,492.459774568506,493.925646448139,0.0633287608596251,116.668032615913,235.336065231825,235.453712290649,236.919584170282,0.360082304526749,149.80790999598,301.615819991959,301.733467050783,303.199338930415,0.0720164609053498,0.512345679012346,1.41974681416501,-1.12900585389486e-05,139.283504290722,286.567008581445,287.85733116209,292.901084335269,0.170781893004115,0.545267489711934,2.40742622417164,0.0246913580246915,119.738543979252,247.477087958503,248.767410539149,253.811163712328,0.166666666666667,0.981481481481481,2.40740740740741,-0.148148148148148,126.249560592525,260.49912118505,261.789443765695,266.833196938875,0.0927450083828685,0.820987724012707,1.74897119341564,0,132.154498231455,272.30899646291,273.599319043555,278.643072216734,0.0189757658893462,0.611111111111111,0.924458218315862,0,116.192162675003,240.384325350006,241.674647930651,246.71840110383,0.0308641975308642,0.541152263374486,2.28242715629839,0,118.763537991427,245.527075982855,246.8173985635,251.861151736679,0.0397805212620199,0.5,1.3031550068582,136.83586338878,279.67172677756,280.42172677756,284.422283592929,0.0105166895286455,0.5,2.71604938271611,119.214878977784,244.429757955568,245.179757955568,249.180314770936,-0.152263374485553,0.5,2.57887517146768,125.162669420817,256.325338841635,257.075338841635,261.075895657003,0.0485693442793391,0.5,1.66757714420809,132.970553704081,271.941107408163,272.691107408163,276.691664223531,0.00210805916908763,0.5,0.946502057613387,116.158928711174,238.317857422347,239.067857422347,243.068414237716,0.0102854256407336,0.5,2.22679469593247,118.67015727118,243.340314542361,244.090314542361,248.090871357729,1.33564545895477,0.777100138217006,135.357199964548,274.714399929097,275.078036292733,277.881437806009,4.71220820608747,0.659149956874549,118.050276078368,240.100552156735,240.464188520372,243.267590033648,1.5450048055753,0.765969294971043,125.928543317752,255.857086635505,256.220722999141,259.024124512417,1.73980886097905,1.26352245799496,132.740384075699,269.480768151397,269.844404515033,272.647806028309,0.913980548219631,0.600505556509171,116.159130043182,236.318260086363,236.68189645,239.485297963275,1.36049937345974,2.29253373479515,118.699998352785,241.39999670557,241.763633069207,244.567034582483
"9",NA,"ryf84f70g5thl4l",9,0.100823045267621,210.683522584133,423.367045168267,423.48469222709,424.950564106723,0.283264746227709,128.140968173217,258.281936346435,258.399583405258,259.865455284891,0.264060356652949,144.268779803006,290.537559606013,290.655206664836,292.121078544469,0.461589339174057,242.670642512335,487.34128502467,487.458932083493,488.924803963126,0.166361835086115,116.926567066633,235.853134133266,235.970781192089,237.436653071722,0.339506172839506,143.71299015361,289.42598030722,289.543627366044,291.009499245676,0.0555555555555556,0.969135802469136,1.2962962962963,0,142.16938157857,292.33876315714,293.629085737785,298.672838910964,0.277777777777778,0.721764974851394,2.77777777777778,0,119.621518048653,247.243036097307,248.533358677952,253.577111851131,0.0432098765432099,0.537037037037037,2.40740740740741,-0.148149402599097,125.092155846276,258.184311692553,259.474634273198,264.518387446377,0.0802469135802469,0.932098765432099,1.66666666666667,0,137.289831128808,282.579662257616,283.869984838261,288.91373801144,0.0925925925925926,0.944444444444444,0.925926158231657,1.54870487545367e-08,116.161867169959,240.323734339918,241.614056920563,246.657810093743,0.0925756575047842,0.981481481481481,2.28395061632796,0,119.110452658672,246.220905317344,247.511227897989,252.554981071169,0.0397805212620199,0.5,1.3031550068582,136.83586338878,279.67172677756,280.42172677756,284.422283592929,0.0105166895286455,0.5,2.71604938271611,119.214878977784,244.429757955568,245.179757955568,249.180314770936,-0.152263374485553,0.5,2.57887517146768,125.162669420817,256.325338841635,257.075338841635,261.075895657003,0.0485693442793391,0.5,1.66757714420809,132.970553704081,271.941107408163,272.691107408163,276.691664223531,0.00210805916908763,0.5,0.946502057613387,116.158928711174,238.317857422347,239.067857422347,243.068414237716,0.0102854256407336,0.5,2.22679469593247,118.67015727118,243.340314542361,244.090314542361,248.090871357729,1.33564545895477,0.777100138217006,135.357199964548,274.714399929097,275.078036292733,277.881437806009,4.71220820608747,0.659149956874549,118.050276078368,240.100552156735,240.464188520372,243.267590033648,1.5450048055753,0.765969294971043,125.928543317752,255.857086635505,256.220722999141,259.024124512417,1.73980886097905,1.26352245799496,132.740384075699,269.480768151397,269.844404515033,272.647806028309,0.913980548219631,0.600505556509171,116.159130043182,236.318260086363,236.68189645,239.485297963275,1.36049937345974,2.29253373479515,118.699998352785,241.39999670557,241.763633069207,244.567034582483
"10",NA,"ryf84f70g5thl4l",10,0.109053497942387,204.318823894929,410.637647789858,410.755294848682,412.221166728314,0.237997256515775,127.642633623971,257.285267247942,257.402914306766,258.868786186398,0.933927754915409,151.013159122667,304.026318245333,304.143965304157,305.609837183789,0.328989483310471,221.076115380715,444.15223076143,444.269877820253,445.735749699886,0.181755829903978,116.746717014328,235.493434028657,235.61108108748,237.076952967113,0.29652491998171,143.712990123469,289.425980246937,289.543627305761,291.009499185393,0.0720164609053498,0.783950617283951,1.17283948036109,0.074074074074074,161.710436840369,331.420873680739,332.711196261384,337.754949434563,0.12962962962963,0.72222243129738,2.65432098765432,0.0246913580246915,119.491457441765,246.98291488353,248.273237464175,253.316990637355,0.166666666666667,0.796296296296296,2.73662551440329,-0.148148148148148,127.742157168566,263.484314337132,264.774636917777,269.818390090956,0.0555555555520149,0.5,1.66666666666667,0.00823045267489708,135.89284465901,279.785689318019,281.076011898665,286.119765071844,0.166666666666681,0.574074074074074,0.925925925925926,0.00274348403376745,116.264369707086,240.528739414172,241.819061994817,246.862815167997,0.0555555555555556,0.792180442733373,2.36625514403292,0,118.562783890164,245.125567780329,246.415890360974,251.459643534153,0.0397805212620199,0.5,1.3031550068582,136.83586338878,279.67172677756,280.42172677756,284.422283592929,0.0105166895286455,0.5,2.71604938271611,119.214878977784,244.429757955568,245.179757955568,249.180314770936,-0.152263374485553,0.5,2.57887517146768,125.162669420817,256.325338841635,257.075338841635,261.075895657003,0.0485693442793391,0.5,1.66757714420809,132.970553704081,271.941107408163,272.691107408163,276.691664223531,0.00210805916908763,0.5,0.946502057613387,116.158928711174,238.317857422347,239.067857422347,243.068414237716,0.0102854256407336,0.5,2.22679469593247,118.67015727118,243.340314542361,244.090314542361,248.090871357729,1.33564545895477,0.777100138217006,135.357199964548,274.714399929097,275.078036292733,277.881437806009,4.71220820608747,0.659149956874549,118.050276078368,240.100552156735,240.464188520372,243.267590033648,1.5450048055753,0.765969294971043,125.928543317752,255.857086635505,256.220722999141,259.024124512417,1.73980886097905,1.26352245799496,132.740384075699,269.480768151397,269.844404515033,272.647806028309,0.913980548219631,0.600505556509171,116.159130043182,236.318260086363,236.68189645,239.485297963275,1.36049937345974,2.29253373479515,118.699998352785,241.39999670557,241.763633069207,244.567034582483
